Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
131,Monday Aug 25,boxscore,SDP,,ARI,W-wo,4,2,,49-82,5,19.0,Hoffman,Rauch,,2:46,N,29197,.00,+,
132,Tuesday Aug 26,boxscore,SDP,,ARI,W,9,2,,50-82,5,18.0,Reineke,Webb,,2:44,N,32104,.00,++,
133,Wednesday Aug 27,boxscore,SDP,,ARI,W,5,4,,51-82,5,17.0,Adams,Qualls,Hoffman,2:49,D,24563,.00,+++,
134,Friday Aug 29,boxscore,SDP,,COL,L,4,9,,51-83,5,18.0,Cook,Hayhurst,,3:12,N,25274,.00,-,
135,Saturday Aug 30,boxscore,SDP,,COL,W,9,4,,52-83,5,17.0,Geer,Jimenez,,2:50,N,30240,.00,+,
136,Sunday Aug 31,boxscore,SDP,,COL,W-wo,2,1,,53-83,5,16.0,Hoffman,Buchholz,,2:37,D,26395,.00,++,
137,Monday Sep 1,boxscore,SDP,@,LAD,L,2,5,,53-84,5,17.0,Maddux,Young,Broxton,2:39,N,44087,.00,-,
138,Tuesday Sep 2,boxscore,SDP,@,LAD,L,4,8,,53-85,5,17.0,Kershaw,Baek,,2:44,N,39330,.00,--,
139,Wednesday Sep 3,boxscore,SDP,@,LAD,L,4,6,,53-86,5,18.0,Kuroda,LeBlanc,Broxton,2:47,N,48822,.00,---,
140,Thursday Sep 4,boxscore,SDP,@,MIL,W,5,2,,54-86,5,17.5,Estes,Suppan,Hoffman,2:52,N,33182,.00,+,
141,Friday Sep 5,boxscore,SDP,@,MIL,L-wo,2,3,11,54-87,5,17.5,Shouse,Falkenborg,,3:38,N,41519,.00,-,
142,Saturday Sep 6,boxscore,SDP,@,MIL,L,0,1,,54-88,5,18.0,Sheets,Peavy,,2:07,N,42667,.00,--,
143,Sunday Sep 7,boxscore,SDP,@,MIL,W,10,1,,55-88,5,18.0,Young,Parra,,2:24,D,44568,.00,+,
144,Monday Sep 8,boxscore,SDP,,LAD,W,4,0,,56-88,5,17.0,Baek,Maddux,,2:35,N,25942,.00,++,
145,Tuesday Sep 9,boxscore,SDP,,LAD,L,2,6,,56-89,5,18.0,Beimel,Bell,,3:17,N,26614,.00,-,
146,Wednesday Sep 10,boxscore,SDP,,LAD,L,2,7,,56-90,5,19.0,Lowe,Estes,,2:48,N,27208,.00,--,
147,Thursday Sep 11,boxscore,SDP,,SFG,W,11,3,,57-90,5,18.5,Geer,Cain,,2:36,N,30497,.00,+,
148,Friday Sep 12,boxscore,SDP,,SFG,L,2,5,,57-91,5,19.5,Sanchez,Peavy,Wilson,2:43,N,24610,.00,-,
149,Saturday Sep 13,boxscore,SDP,,SFG,L,0,7,,57-92,5,20.5,Lincecum,Young,,2:38,N,31015,.00,--,
150,Sunday Sep 14,boxscore,SDP,,SFG,L,6,8,10,57-93,5,20.5,Romo,Hayhurst,Wilson,3:47,D,25476,.00,---,
151,Monday Sep 15,boxscore,SDP,@,COL,W,11,5,,58-93,5,20.5,LeBlanc,Reynolds,,2:52,N,25296,.00,+,
152,Tuesday Sep 16,boxscore,SDP,@,COL,L,3,10,,58-94,5,21.5,Jimenez,Estes,,2:38,N,25507,.00,-,
153,Wednesday Sep 17,boxscore,SDP,@,COL,L,0,1,,58-95,5,21.5,Hernández,Geer,Fuentes,2:36,D,25155,.00,--,
154,Friday Sep 19,boxscore,SDP,@,WSN,W,11,6,14,59-95,5,21.0,Hampson,Speigner,,5:00,N,28600,.00,+,
155,Saturday Sep 20,boxscore,SDP,@,WSN,W,6,1,,60-95,5,21.0,Young,Lannan,,2:36,N,27474,.00,++,
156,Sunday Sep 21,boxscore,SDP,@,WSN,W,6,2,,61-95,5,20.0,Baek,Perez,,2:40,D,29608,.00,+++,
157,Tuesday Sep 23,boxscore,SDP,@,LAD,L,1,10,,61-96,5,21.0,Billingsley,LeBlanc,,2:56,N,48905,.00,-,
158,Wednesday Sep 24,boxscore,SDP,@,LAD,L,4,12,,61-97,5,22.0,Kershaw,Ekstrom,,3:21,N,44776,.00,--,
159,Thursday Sep 25,boxscore,SDP,@,LAD,W,7,5,,62-97,5,21.0,Peavy,Stults,Hoffman,3:09,N,52569,.00,+,
160,Friday Sep 26,boxscore,SDP,,PIT,L,3,6,,62-98,5,21.0,Snell,Ekstrom,Capps,2:36,N,27227,.00,-,
161,Saturday Sep 27,boxscore,SDP,,PIT,W,3,2,,63-98,5,21.0,Young,Barthmaier,Hoffman,2:30,N,29825,.00,+,
162,Sunday Sep 28,boxscore,SDP,,PIT,L,1,6,,63-99,5,21.0,Yates,LeBlanc,,3:02,D,29191,.00,-,
