Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
81,Friday Jun 27,boxscore,CIN,@,CLE,L,0,6,,36-45,6,13.5,Sabathia,Thompson,,2:54,N,34844,.26,--,
82,Saturday Jun 28,boxscore,CIN,@,CLE,W,5,0,,37-45,6,12.5,Cueto,Byrd,,2:56,N,39506,.24,+,
83,Sunday Jun 29,boxscore,CIN,@,CLE,W,9,5,,38-45,6,11.5,Arroyo,Laffey,,3:09,D,37079,.28,++,
84,Monday Jun 30,boxscore,CIN,,PIT,W-wo,4,3,,39-45,5,11.5,Cordero,Capps,,2:37,N,20745,.33,+++,
85,Tuesday Jul 1,boxscore,CIN,,PIT,L,5,6,11,39-46,6,11.5,Capps,Weathers,Sanchez,3:57,N,19345,.36,-,
86,Wednesday Jul 2,boxscore,CIN,,PIT,L,5,9,,39-47,6,12.5,Bautista,Thompson,,3:02,N,16890,.32,--,
87,Thursday Jul 3,boxscore,CIN,,WSN,W,5,3,,40-47,6,11.5,Cueto,Colome,Cordero,2:24,N,23259,.23,+,
88,Friday Jul 4,boxscore,CIN,,WSN,W,3,0,,41-47,5,11.5,Arroyo,Bergmann,Cordero,2:22,D,22626,.30,++,
89,Saturday Jul 5,boxscore,CIN,,WSN,W-wo,3,2,,42-47,4,10.5,Cordero,Hanrahan,,3:00,N,37121,.33,+++,
90,Sunday Jul 6,boxscore,CIN,,WSN,W,6,5,,43-47,4,10.5,Volquez,Balester,Cordero,2:56,D,28814,.38,++++,
91,Tuesday Jul 8,boxscore,CIN,@,CHC,L,3,7,,43-48,4,11.5,Dempster,Harang,,2:46,N,41360,.54,-,
92,Wednesday Jul 9,boxscore,CIN,@,CHC,L,1,5,,43-49,4,12.5,Zambrano,Cueto,Wood,2:31,N,41605,.41,--,
