Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
58,Tuesday Jun 3,boxscore,PIT,,HOU,L,0,2,,27-31,6,10.5,Rodriguez,Dumatrait,Valverde,2:44,N,13183,.64,-,
59,Wednesday Jun 4,boxscore,PIT,,HOU,W,5,2,,28-31,6,9.5,Duke,Oswalt,Capps,2:31,N,9392,.52,+,
60,Thursday Jun 5,boxscore,PIT,,HOU,W,4,3,,29-31,5,9.5,Maholm,Backe,Capps,2:24,N,10728,.62,++,
61,Friday Jun 6,boxscore,PIT,,ARI,L,1,3,,29-32,6,9.5,Webb,Snell,Lyon,2:48,N,19437,.58,-,
62,Saturday Jun 7,boxscore,PIT,,ARI,L,3,4,,29-33,6,9.5,Cruz,Grabow,Lyon,2:22,N,20967,.56,--,
63,Sunday Jun 8,boxscore,PIT,,ARI,W,6,4,,30-33,5,9.5,Dumatrait,Davis,Capps,3:17,D,22222,.48,+,
64,Monday Jun 9,boxscore,PIT,,ARI,W,5,3,,31-33,5,9.0,Duke,Johnson,Capps,2:44,D,10717,.52,++,
65,Tuesday Jun 10,boxscore,PIT,,WSN,L,6,7,,31-34,5,10.0,Hanrahan,Capps,Rauch,2:38,N,12957,.59,-,
66,Wednesday Jun 11,boxscore,PIT,,WSN,W,3,1,,32-34,5,10.0,Snell,Lannan,Capps,2:39,N,15439,.52,+,
67,Thursday Jun 12,boxscore,PIT,,WSN,W,7,5,,33-34,4,10.0,Gorzelanny,Bergmann,Marte,2:59,D,16306,.54,++,
68,Friday Jun 13,boxscore,PIT,@,BAL,L,6,9,,33-35,4,10.0,Burres,Osoria,Sherrill,2:54,N,47305,.61,-,
69,Saturday Jun 14,boxscore,PIT,@,BAL,L-wo,7,8,,33-36,4,11.0,Sherrill,Capps,,3:12,N,32432,.59,--,
70,Sunday Jun 15,boxscore,PIT,@,BAL,W,5,4,10,34-36,4,11.0,Capps,Sherrill,,3:03,D,31107,.52,+,
71,Tuesday Jun 17,boxscore,PIT,@,CHW,L,5,16,,34-37,4,11.0,Vazquez,Snell,,3:15,N,28012,.54,-,
72,Wednesday Jun 18,boxscore,PIT,@,CHW,L,2,8,,34-38,4,11.0,Buehrle,Gorzelanny,,2:17,N,28570,.52,--,
73,Thursday Jun 19,boxscore,PIT,@,CHW,L,8,13,,34-39,4,11.0,Floyd,Dumatrait,,2:55,D,26685,.46,---,
74,Friday Jun 20,boxscore,PIT,,TOR,W-wo,1,0,12,35-39,4,11.0,Yates,Carlson,,3:31,N,28962,.44,+,
75,Saturday Jun 21,boxscore,PIT,,TOR,W,6,3,,36-39,4,11.0,Maholm,Litsch,Capps,2:03,N,27014,.47,++,
76,Sunday Jun 22,boxscore,PIT,,TOR,L,5,8,,36-40,4,12.0,McGowan,Beam,Ryan,3:08,D,22983,.49,-,
77,Tuesday Jun 24,boxscore,PIT,,NYY,W,12,5,,37-40,4,11.0,Gorzelanny,Rasner,,2:56,N,38867,.42,+,
78,Wednesday Jun 25,boxscore,PIT,,NYY,L,0,10,,37-41,4,12.0,Chamberlain,Duke,,3:01,N,38952,.46,-,
79,Friday Jun 27,boxscore,PIT,,TBR,L,5,10,,37-42,4,11.5,Kazmir,Barthmaier,,3:16,N,19970,.44,--,
80,Saturday Jun 28,boxscore,PIT,,TBR,W-wo,4,3,13,38-42,4,10.5,Van Benschoten,Hammel,,3:53,N,17970,.40,+,
81,Sunday Jun 29,boxscore,PIT,,TBR,L,3,4,,38-43,5,10.5,Sonnanstine,Yates,Percival,2:59,D,15828,.47,-,
82,Monday Jun 30,boxscore,PIT,@,CIN,L-wo,3,4,,38-44,5,11.5,Cordero,Capps,,2:37,N,20745,.39,--,
83,Tuesday Jul 1,boxscore,PIT,@,CIN,W,6,5,11,39-44,5,10.5,Capps,Weathers,Sanchez,3:57,N,19345,.30,+,
84,Wednesday Jul 2,boxscore,PIT,@,CIN,W,9,5,,40-44,4,10.5,Bautista,Thompson,,3:02,N,16890,.41,++,
85,Friday Jul 4,boxscore,PIT,@,MIL,L,1,9,,40-45,4,11.0,Sheets,Gorzelanny,Villanueva,2:48,D,41463,.53,-,
86,Saturday Jul 5,boxscore,PIT,@,MIL,L-wo,1,2,,40-46,5,11.0,Gagne,Yates,,2:14,N,39176,.48,--,
87,Sunday Jul 6,boxscore,PIT,@,MIL,L,6,11,,40-47,5,12.0,Stetter,Bautista,,3:04,D,42163,.39,---,
88,Monday Jul 7,boxscore,PIT,,HOU,W,10,7,,41-47,5,11.5,Bautista,Hernandez,Marte,2:55,N,13323,.26,+,
89,Tuesday Jul 8,boxscore,PIT,,HOU,W,4,3,,42-47,4,11.5,Grabow,Brocail,Marte,2:58,N,17867,.32,++,
90,Wednesday Jul 9,boxscore,PIT,,HOU,L,4,6,,42-48,4,12.5,Moehler,Burnett,Valverde,3:15,N,13884,.32,-,
91,Thursday Jul 10,boxscore,PIT,,NYY,W,4,2,,43-48,4,11.5,Maholm,Veras,Marte,2:37,N,39081,.27,+,2008-06-26 (Rain)
92,Friday Jul 11,boxscore,PIT,,STL,L,0,6,,43-49,5,12.5,Lohse,Duke,,2:27,N,37113,.40,-,
93,Saturday Jul 12,boxscore,PIT,,STL,W-wo,12,11,10,44-49,5,12.5,Bautista,Perez,,3:39,N,29387,.29,+,
94,Sunday Jul 13,boxscore,PIT,,STL,L,6,11,,44-50,5,12.5,Springer,Osoria,,3:07,D,21052,.36,-,
95,Thursday Jul 17,boxscore,PIT,@,COL,L,3,5,,44-51,5,13.0,Jimenez,Maholm,Fuentes,2:34,N,30584,.20,--,
96,Friday Jul 18,boxscore,PIT,@,COL,L,2,5,,44-52,6,13.0,Rusch,Snell,Fuentes,2:11,N,37114,.16,---,
97,Saturday Jul 19,boxscore,PIT,@,COL,L,1,7,,44-53,6,13.0,De La Rosa,Herrera,,2:43,N,44565,.11,----,
98,Sunday Jul 20,boxscore,PIT,@,COL,L,3,11,,44-54,6,14.0,Cook,Duke,,2:23,D,30488,.09,-----,
99,Monday Jul 21,boxscore,PIT,@,HOU,W,9,3,,45-54,6,13.0,Yates,Valverde,,3:42,N,34624,.05,+,
100,Tuesday Jul 22,boxscore,PIT,@,HOU,W,8,2,,46-54,5,12.0,Maholm,Cassel,,2:31,N,33996,.06,++,
101,Wednesday Jul 23,boxscore,PIT,@,HOU,W,8,7,,47-54,5,12.0,Osoria,Geary,Marte,3:24,D,36091,.09,+++,
102,Thursday Jul 24,boxscore,PIT,,SDP,W,9,1,,48-54,5,12.0,Herrera,Hensley,,2:36,N,17916,.11,++++,
103,Friday Jul 25,boxscore,PIT,,SDP,L,5,6,,48-55,5,12.0,Baek,Duke,Hoffman,2:35,N,25727,.14,-,
104,Saturday Jul 26,boxscore,PIT,,SDP,L,6,9,,48-56,5,12.0,Banks,Van Benschoten,Hoffman,2:52,N,27794,.12,--,
105,Sunday Jul 27,boxscore,PIT,,SDP,L,1,3,,48-57,6,13.0,Peavy,Grabow,Hoffman,2:38,D,21721,.08,---,
106,Monday Jul 28,boxscore,PIT,,COL,W,8,4,,49-57,6,13.0,Snell,Grilli,,2:53,N,15303,.05,+,
107,Tuesday Jul 29,boxscore,PIT,,COL,W,6,4,,50-57,5,13.0,Davis,Herges,Yates,2:47,N,17507,.07,++,
108,Wednesday Jul 30,boxscore,PIT,,COL,L,4,7,,50-58,6,14.0,Cook,Duke,Fuentes,2:46,N,16587,.08,-,
109,Friday Aug 1,boxscore,PIT,@,CHC,W,3,0,,51-58,5,13.5,Karstens,Marquis,Grabow,2:47,D,41340,.07,+,
110,Saturday Aug 2,boxscore,PIT,@,CHC,L,1,5,,51-59,5,14.5,Lilly,Maholm,,2:30,D,41426,.09,-,
111,Sunday Aug 3,boxscore,PIT,@,CHC,L,5,8,,51-60,5,15.5,Gaudin,Hansen,Marmol,2:49,D,41200,.06,--,
