Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
69,Friday Jun 13,boxscore,WSN,@,SEA,W,7,6,,27-42,5,14.0,Hill,Dickey,Rauch,3:01,N,35941,.06,+,
70,Saturday Jun 14,boxscore,WSN,@,SEA,W,5,2,,28-42,5,13.0,Clippard,Batista,Rauch,2:49,N,32145,.08,++,
71,Sunday Jun 15,boxscore,WSN,@,SEA,W,6,2,,29-42,5,12.0,Colome,Lowe,,2:52,D,38548,.11,+++,
72,Tuesday Jun 17,boxscore,WSN,@,MIN,L,1,2,,29-43,5,12.5,Hernández,Lannan,Nathan,1:59,N,20920,.11,-,
73,Wednesday Jun 18,boxscore,WSN,@,MIN,L,2,11,,29-44,5,12.5,Slowey,Bergmann,,2:52,N,23841,.12,--,
74,Thursday Jun 19,boxscore,WSN,@,MIN,L,3,9,,29-45,5,13.0,Perkins,Hill,,2:39,D,24793,.09,---,
75,Friday Jun 20,boxscore,WSN,,TEX,W-wo,4,3,14,30-45,5,12.0,Hanrahan,Wright,,4:10,N,30359,.07,+,
76,Saturday Jun 21,boxscore,WSN,,TEX,L,3,13,,30-46,5,12.0,Gabbard,Mock,Mendoza,3:18,N,32975,.10,-,
77,Sunday Jun 22,boxscore,WSN,,TEX,L,3,5,,30-47,5,12.0,Padilla,Ayala,Wilson,2:48,D,32690,.07,--,
78,Monday Jun 23,boxscore,WSN,,LAA,L,2,3,,30-48,5,12.5,Lackey,Rivera,Rodriguez,2:12,N,24805,.05,---,
79,Tuesday Jun 24,boxscore,WSN,,LAA,L,3,8,,30-49,5,12.5,Garland,Hill,,2:36,N,28531,.04,----,
80,Wednesday Jun 25,boxscore,WSN,,LAA,W-wo,5,4,,31-49,5,12.5,Rauch,Shields,,2:41,N,29180,.04,+,
