Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
61,Thursday Jun 5,boxscore,ATL,,FLA,W,7,5,,32-29,3,3.5,Jurrjens,Nolasco,Soriano,2:53,N,27238,1.25,+,
62,Friday Jun 6,boxscore,ATL,,PHI,L,3,4,10,32-30,3,4.5,Gordon,Acosta,Lidge,3:36,N,34074,1.33,-,
63,Saturday Jun 7,boxscore,ATL,,PHI,L,2,6,,32-31,3,5.5,Romero,Reyes,,3:02,N,43854,1.28,--,
64,Sunday Jun 8,boxscore,ATL,,PHI,L,3,6,,32-32,3,6.5,Durbin,Boyer,Lidge,3:09,D,33370,1.21,---,
65,Tuesday Jun 10,boxscore,ATL,@,CHC,L,5,10,,32-33,3,6.5,Lilly,Glavine,,2:50,N,41624,.92,----,
66,Wednesday Jun 11,boxscore,ATL,@,CHC,L,2,7,,32-34,3,6.5,Dempster,Bennett,,2:25,N,41497,.86,-----,
67,Thursday Jun 12,boxscore,ATL,@,CHC,L-wo,2,3,11,32-35,3,7.5,Wood,Acosta,,3:22,D,41517,.74,------,
68,Friday Jun 13,boxscore,ATL,@,LAA,W,5,2,,33-35,3,7.5,Reyes,Garland,Bennett,2:17,N,43919,.60,+,
69,Saturday Jun 14,boxscore,ATL,@,LAA,W,9,4,,34-35,3,6.5,Morton,Santana,,3:00,N,43894,.72,++,
70,Sunday Jun 15,boxscore,ATL,@,LAA,L,0,2,,34-36,3,6.5,Saunders,Campillo,Rodriguez,2:14,N,43723,.82,-,
71,Monday Jun 16,boxscore,ATL,@,COL,W,7,1,,35-36,3,6.5,Jurrjens,Jimenez,,3:02,N,25120,.73,+,2008-04-10 (Snow)
72,Tuesday Jun 17,boxscore,ATL,@,TEX,L,5,7,,35-37,3,6.5,Padilla,Hudson,Wilson,2:40,N,33558,.76,-,
73,Wednesday Jun 18,boxscore,ATL,@,TEX,W,5,2,,36-37,3,5.5,Bennett,Wilson,Gonzalez,2:50,N,38545,.79,+,
74,Thursday Jun 19,boxscore,ATL,@,TEX,L-wo,4,5,,36-38,4,6.0,Wright,Boyer,,3:04,D,28853,.88,-,
75,Friday Jun 20,boxscore,ATL,,SEA,L,2,10,,36-39,4,6.0,Rowland-Smith,Campillo,,2:53,N,40268,.81,--,
76,Saturday Jun 21,boxscore,ATL,,SEA,W-wo,5,4,,37-39,4,5.0,Boyer,Batista,,3:10,N,47158,.74,+,
77,Sunday Jun 22,boxscore,ATL,,SEA,W,8,3,,38-39,4,4.0,Hudson,Silva,,2:25,D,30965,.79,++,
78,Monday Jun 23,boxscore,ATL,,MIL,L,1,4,,38-40,4,4.5,Sheets,Reyes,,2:14,N,25661,.95,-,
79,Tuesday Jun 24,boxscore,ATL,,MIL,L,3,4,,38-41,4,4.5,Bush,Morton,Torres,2:31,N,29224,.85,--,
80,Wednesday Jun 25,boxscore,ATL,,MIL,W,4,2,,39-41,4,4.5,Campillo,Suppan,Gonzalez,2:29,D,34829,.83,+,
