Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
116,Saturday Aug 9,boxscore,NYM,,FLA,W,8,6,,62-54,2,1.0,Schoeneweis,Olsen,Heilman,2:57,N,52484,2.39,+++,
117,Sunday Aug 10,boxscore,NYM,,FLA,L,2,8,,62-55,2,2.0,Johnson,Pelfrey,,2:45,D,54242,2.36,-,
118,Monday Aug 11,boxscore,NYM,,PIT,L,5,7,,62-56,2,2.0,Bautista,Heilman,Grabow,3:11,D,53534,1.71,--,2008-04-28 (Rain)
119,Tuesday Aug 12,boxscore,NYM,@,WSN,W,4,3,,63-56,2,1.0,Santana,Rivera,Feliciano,2:57,N,32186,1.60,+,
120,Wednesday Aug 13,boxscore,NYM,@,WSN,W,12,0,,64-56,1,Tied,Maine,Bergmann,Stokes,2:52,N,30814,1.78,++,
121,Thursday Aug 14,boxscore,NYM,@,WSN,W,9,3,,65-56,1,up 1.0,Perez,Balester,,2:43,N,31058,1.87,+++,
122,Friday Aug 15,boxscore,NYM,@,PIT,W,2,1,,66-56,1,up 1.0,Pelfrey,Davis,Heilman,2:31,N,36418,1.93,++++,
123,Saturday Aug 16,boxscore,NYM,@,PIT,W,7,4,,67-56,1,up 2.0,Martinez,Duke,Feliciano,2:43,N,37506,1.96,+++++,
124,Sunday Aug 17,boxscore,NYM,@,PIT,W,4,0,,68-56,1,up 2.0,Santana,Karstens,,2:42,D,36483,1.91,++++++,
125,Monday Aug 18,boxscore,NYM,@,PIT,L,2,5,,68-57,1,up 1.5,Burnett,Feliciano,Grabow,2:50,D,19066,1.91,-,
126,Tuesday Aug 19,boxscore,NYM,,ATL,W,7,3,,69-57,1,up 1.5,Heilman,Bennett,,2:57,N,50589,1.94,+,
127,Wednesday Aug 20,boxscore,NYM,,ATL,W,6,3,,70-57,1,up 1.5,Pelfrey,Jurrjens,,2:08,N,50178,1.97,++,
128,Thursday Aug 21,boxscore,NYM,,ATL,W-wo,5,4,,71-57,1,up 2.5,Ayala,Núñez,,2:58,N,51952,1.96,+++,
129,Friday Aug 22,boxscore,NYM,,HOU,W,3,0,,72-57,1,up 2.5,Santana,Oswalt,Ayala,2:18,N,52008,1.80,++++,
130,Saturday Aug 23,boxscore,NYM,,HOU,L,3,8,,72-58,1,up 1.5,Backe,Maine,,2:36,N,51766,1.80,-,
131,Sunday Aug 24,boxscore,NYM,,HOU,L,4,6,10,72-59,1,up 0.5,Hawkins,Feliciano,Valverde,3:12,D,49758,2.01,--,
132,Monday Aug 25,boxscore,NYM,,HOU,W,9,1,,73-59,1,up 0.5,Pelfrey,Moehler,,2:27,N,49791,2.13,+,
133,Tuesday Aug 26,boxscore,NYM,@,PHI,L-wo,7,8,13,73-60,2,0.5,Seanez,Schoeneweis,,5:17,N,45204,3.71,-,
134,Wednesday Aug 27,boxscore,NYM,@,PHI,W,6,3,,74-60,1,up 0.5,Stokes,Seanez,Ayala,3:17,N,45138,3.93,+,
135,Friday Aug 29,boxscore,NYM,@,FLA,W,5,4,,75-60,1,up 2.0,Smith,Gregg,Ayala,3:09,N,20043,2.35,++,
136,Saturday Aug 30,boxscore,NYM,@,FLA,L-wo,3,4,,75-61,1,up 1.0,Lindstrom,Heilman,,3:19,N,28830,2.05,-,
137,Sunday Aug 31,boxscore,NYM,@,FLA,W,6,2,,76-61,1,up 1.0,Martinez,Olsen,,3:04,D,16123,2.35,+,
138,Monday Sep 1,boxscore,NYM,@,MIL,W,4,2,,77-61,1,up 2.0,Figueroa,Gagne,Ayala,3:09,D,41476,2.34,++,
139,Tuesday Sep 2,boxscore,NYM,@,MIL,W,6,5,10,78-61,1,up 2.0,Smith,Torres,Ayala,3:21,N,36587,2.12,+++,
140,Wednesday Sep 3,boxscore,NYM,@,MIL,W,9,2,,79-61,1,up 3.0,Perez,Bush,,2:52,D,26236,2.18,++++,
141,Friday Sep 5,boxscore,NYM,,PHI,L,0,3,,79-62,1,up 2.0,Myers,Pelfrey,Lidge,2:35,N,48302,2.84,-,
142,Sunday Sep 7 (1),boxscore,NYM,,PHI,L,2,6,,79-63,1,up 2.0,Moyer,Martinez,,2:49,D,55797,4.10,--,2008-09-06 (Rain expected)
143,Sunday Sep 7 (2),boxscore,NYM,,PHI,W,6,3,,80-63,1,up 2.0,Santana,Hamels,,2:49,N,54980,4.79,+,
144,Tuesday Sep 9,boxscore,NYM,,WSN,W,10,8,,81-63,1,up 2.5,Smith,Manning,Ayala,3:16,N,50382,2.49,++,
145,Wednesday Sep 10,boxscore,NYM,,WSN,W,13,10,,82-63,1,up 3.5,Smith,Rivera,Ayala,3:24,N,52431,1.98,+++,
146,Saturday Sep 13 (1),boxscore,NYM,,ATL,L,2,3,,82-64,1,up 2.5,Ridgway,Schoeneweis,Gonzalez,3:01,D,,1.68,-,2008-09-12 (Rain)
147,Saturday Sep 13 (2),boxscore,NYM,,ATL,W,5,0,,83-64,1,up 2.5,Niese,Reyes,,2:24,N,54705,2.00,+,
148,Sunday Sep 14,boxscore,NYM,,ATL,L,4,7,,83-65,1,up 1.0,Julio,Ayala,Gonzalez,3:29,D,56041,1.95,-,
149,Monday Sep 15,boxscore,NYM,@,WSN,L,2,7,,83-66,1,up 0.5,Lannan,Martinez,,2:42,N,21759,2.67,--,
150,Tuesday Sep 16,boxscore,NYM,@,WSN,L,0,1,,83-67,2,0.5,Perez,Pelfrey,Hanrahan,2:38,N,24997,3.07,---,
151,Wednesday Sep 17,boxscore,NYM,@,WSN,W,9,7,,84-67,2,0.5,Knight,Martis,Ayala,3:13,N,25019,3.50,+,
152,Thursday Sep 18,boxscore,NYM,@,WSN,W,7,2,,85-67,2,0.5,Santana,Redding,,2:45,N,25426,3.52,++,
153,Friday Sep 19,boxscore,NYM,@,ATL,W,9,5,,86-67,1,up 0.5,Feliciano,Tavarez,,3:25,N,42803,2.87,+++,
154,Saturday Sep 20,boxscore,NYM,@,ATL,L,2,4,,86-68,2,0.5,Campillo,Martinez,Gonzalez,2:38,N,50124,1.72,-,
155,Sunday Sep 21,boxscore,NYM,@,ATL,L,6,7,,86-69,2,1.5,Julio,Schoeneweis,Gonzalez,3:20,D,49222,1.80,--,
156,Monday Sep 22,boxscore,NYM,,CHC,L,5,9,,86-70,2,2.5,Marquis,Niese,Wood,3:21,N,51137,3.33,---,
157,Tuesday Sep 23,boxscore,NYM,,CHC,W,6,2,,87-70,2,1.5,Santana,Gaudin,Ayala,2:47,N,50615,4.22,+,
158,Wednesday Sep 24,boxscore,NYM,,CHC,L,6,9,10,87-71,2,1.5,Howry,Ayala,Wood,4:04,N,54416,4.36,-,
159,Thursday Sep 25,boxscore,NYM,,CHC,W-wo,7,6,,88-71,2,1.0,Smith,Hart,,3:20,N,51174,6.21,+,
160,Friday Sep 26,boxscore,NYM,,FLA,L,1,6,,88-72,2,2.0,Volstad,Pelfrey,,3:32,N,49545,7.06,-,
161,Saturday Sep 27,boxscore,NYM,,FLA,W,2,0,,89-72,2,2.0,Santana,Nolasco,,2:17,D,54920,5.74,+,
162,Sunday Sep 28,boxscore,NYM,,FLA,L,2,4,,89-73,2,3.0,Nelson,Schoeneweis,Lindstrom,3:04,D,56059,10.33,-,
