Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
64,Saturday Jun 7,boxscore,PHI,@,ATL,W,6,2,,38-26,1,up 3.5,Romero,Reyes,,3:02,N,43854,1.65,+++,
65,Sunday Jun 8,boxscore,PHI,@,ATL,W,6,3,,39-26,1,up 3.5,Durbin,Boyer,Lidge,3:09,D,33370,1.58,++++,
66,Tuesday Jun 10,boxscore,PHI,@,FLA,L,4,5,,39-27,1,up 3.0,Nolasco,Myers,Gregg,2:37,N,12411,1.66,-,
67,Wednesday Jun 11,boxscore,PHI,@,FLA,L-wo,2,6,,39-28,1,up 2.0,Gregg,Gordon,,2:30,N,14122,1.73,--,
68,Thursday Jun 12,boxscore,PHI,@,FLA,W,3,0,,40-28,1,up 3.0,Moyer,Olsen,Lidge,2:29,N,15202,1.85,+,
69,Friday Jun 13,boxscore,PHI,@,STL,W,20,2,,41-28,1,up 4.0,Kendrick,Wellemeyer,,3:27,N,44376,1.45,++,
70,Saturday Jun 14,boxscore,PHI,@,STL,L,2,3,,41-29,1,up 4.0,Lohse,Eaton,Franklin,2:11,D,45089,1.39,-,
71,Sunday Jun 15,boxscore,PHI,@,STL,L-wo,6,7,10,41-30,1,up 3.0,Reyes,Gordon,,3:32,D,45391,1.45,--,
72,Monday Jun 16,boxscore,PHI,,BOS,W,8,2,,42-30,1,up 3.0,Hamels,Colon,,2:32,N,45026,1.37,+,
73,Tuesday Jun 17,boxscore,PHI,,BOS,L,0,3,,42-31,1,up 3.0,Lester,Moyer,Papelbon,3:04,N,45160,1.36,-,
74,Wednesday Jun 18,boxscore,PHI,,BOS,L,4,7,,42-32,1,up 2.0,Masterson,Kendrick,Papelbon,3:09,D,45187,1.39,--,
75,Friday Jun 20,boxscore,PHI,,LAA,L,1,7,,42-33,1,up 2.0,Santana,Eaton,,2:46,N,45033,1.43,---,
76,Saturday Jun 21,boxscore,PHI,,LAA,L,2,6,,42-34,1,up 1.0,Saunders,Myers,Rodriguez,2:34,N,45196,1.46,----,
77,Sunday Jun 22,boxscore,PHI,,LAA,L,2,3,,42-35,1,up 1.0,Weaver,Hamels,Rodriguez,2:48,D,44571,1.46,-----,
78,Tuesday Jun 24,boxscore,PHI,@,OAK,L,2,5,,42-36,1,up 1.0,Blanton,Moyer,Street,2:24,N,13348,1.47,------,
79,Wednesday Jun 25,boxscore,PHI,@,OAK,W,4,0,,43-36,1,up 2.0,Kendrick,Smith,,2:49,N,22231,1.44,+,
80,Thursday Jun 26,boxscore,PHI,@,OAK,L,0,5,,43-37,1,up 2.0,Harden,Eaton,,2:13,D,17228,1.50,-,
81,Friday Jun 27,boxscore,PHI,@,TEX,L,7,8,,43-38,1,up 1.0,Rupe,Condrey,Wilson,3:28,N,28623,1.45,--,
82,Saturday Jun 28,boxscore,PHI,@,TEX,W,8,6,,44-38,1,up 2.0,Hamels,Padilla,Lidge,2:55,N,35039,1.47,+,
83,Sunday Jun 29,boxscore,PHI,@,TEX,L,1,5,,44-39,1,up 1.0,Hurley,Moyer,,2:47,N,26283,1.50,-,
84,Tuesday Jul 1,boxscore,PHI,@,ATL,W,8,3,,45-39,1,up 1.5,Kendrick,Morton,,3:07,N,29206,1.71,+,
85,Wednesday Jul 2,boxscore,PHI,@,ATL,W,7,3,,46-39,1,up 1.5,Eaton,Campillo,,3:14,N,30138,1.71,++,
86,Thursday Jul 3,boxscore,PHI,@,ATL,W,4,1,,47-39,1,up 2.5,Hamels,Jurrjens,Gordon,2:21,N,28805,1.69,+++,
87,Friday Jul 4,boxscore,PHI,,NYM,W-wo,3,2,,48-39,1,up 3.5,Lidge,Sanchez,,2:34,N,44922,1.89,++++,
88,Saturday Jul 5,boxscore,PHI,,NYM,L,4,9,,48-40,1,up 3.5,Feliciano,Romero,,3:06,N,45190,1.78,-,
89,Sunday Jul 6,boxscore,PHI,,NYM,L,2,4,12,48-41,1,up 2.5,Smith,Durbin,,4:25,D,45203,1.93,--,
90,Monday Jul 7,boxscore,PHI,,NYM,L,9,10,,48-42,1,up 1.5,Martinez,Eaton,Wagner,3:37,N,44655,2.04,---,
91,Tuesday Jul 8,boxscore,PHI,,STL,L,0,2,,48-43,1,up 1.5,Pineiro,Hamels,Franklin,2:21,N,41519,1.67,----,
92,Wednesday Jul 9,boxscore,PHI,,STL,W,4,2,,49-43,1,up 1.5,Condrey,McClellan,Lidge,3:12,N,44951,1.65,+,
93,Thursday Jul 10,boxscore,PHI,,STL,W,4,1,,50-43,1,up 1.5,Moyer,Looper,Romero,2:53,D,44241,1.70,++,
94,Friday Jul 11,boxscore,PHI,,ARI,W-wo,6,5,12,51-43,1,up 1.5,Seanez,Robertson,,4:03,N,45028,1.65,+++,
95,Saturday Jul 12,boxscore,PHI,,ARI,L,4,10,,51-44,1,up 0.5,Johnson,Eaton,,2:50,D,45006,1.67,-,
96,Sunday Jul 13,boxscore,PHI,,ARI,W,6,3,,52-44,1,up 0.5,Madson,Qualls,,2:38,D,45277,1.62,+,
