Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
62,Saturday Jun 7,boxscore,COL,,MIL,W,7,2,,24-38,5,10.0,Reynolds,Bush,,2:26,N,37283,.29,++++,
63,Sunday Jun 8,boxscore,COL,,MIL,L,2,3,,24-39,5,10.0,Suppan,Francis,Torres,3:09,D,32256,.30,-,
64,Tuesday Jun 10,boxscore,COL,,SFG,W,10,5,,25-39,5,9.5,Cook,Misch,,2:38,N,28359,.32,+,
65,Wednesday Jun 11,boxscore,COL,,SFG,W-wo,1,0,,26-39,5,8.5,Fuentes,Yabu,,2:41,N,26235,.32,++,
66,Thursday Jun 12,boxscore,COL,,SFG,L,7,10,,26-40,5,9.5,Sanchez,Reynolds,Wilson,3:16,D,30376,.39,-,
67,Friday Jun 13,boxscore,COL,@,CHW,L,4,5,,26-41,5,10.5,Thornton,Herges,Jenks,2:28,N,30143,.28,--,
68,Saturday Jun 14,boxscore,COL,@,CHW,W,2,0,,27-41,5,9.5,Grilli,Dotel,Fuentes,2:56,N,35663,.24,+,
69,Sunday Jun 15,boxscore,COL,@,CHW,W,5,3,,28-41,5,8.5,Cook,Contreras,Fuentes,2:44,D,32004,.32,++,
70,Monday Jun 16,boxscore,COL,,ATL,L,1,7,,28-42,5,9.0,Jurrjens,Jimenez,,3:02,N,25120,.41,-,2008-04-10 (Snow)
71,Tuesday Jun 17,boxscore,COL,,CLE,W,10,2,,29-42,5,8.0,Reynolds,Byrd,,2:46,N,28146,.35,+,
72,Wednesday Jun 18,boxscore,COL,,CLE,W,4,2,,30-42,5,8.0,Francis,Laffey,Fuentes,2:39,N,28339,.42,++,
73,Thursday Jun 19,boxscore,COL,,CLE,W,6,3,,31-42,3,8.0,De La Rosa,Sowers,Fuentes,2:44,N,33174,.45,+++,
74,Friday Jun 20,boxscore,COL,,NYM,L,2,7,,31-43,5,8.0,Maine,Cook,,2:37,N,30411,.46,-,
75,Saturday Jun 21,boxscore,COL,,NYM,W,7,1,,32-43,3,7.0,Jimenez,Martinez,,2:38,N,35637,.43,+,
76,Sunday Jun 22,boxscore,COL,,NYM,L,1,3,,32-44,3,7.0,Pelfrey,Reynolds,Wagner,2:34,D,45019,.54,-,
77,Monday Jun 23,boxscore,COL,@,KCR,L,4,8,,32-45,4,8.0,Bannister,Francis,,2:38,N,12260,.48,--,
78,Tuesday Jun 24,boxscore,COL,@,KCR,L,3,7,,32-46,4,8.0,Greinke,De La Rosa,,3:01,N,19169,.40,---,
79,Wednesday Jun 25,boxscore,COL,@,KCR,L,2,4,,32-47,4,8.0,Hochevar,Cook,Soria,2:28,N,16615,.39,----,
80,Friday Jun 27,boxscore,COL,@,DET,L,1,7,,32-48,4,8.0,Bonine,Jimenez,,2:31,N,40842,.38,-----,
81,Saturday Jun 28,boxscore,COL,@,DET,L-wo,6,7,,32-49,4,9.0,Dolsi,Fuentes,,3:21,N,42729,.35,------,
82,Sunday Jun 29,boxscore,COL,@,DET,L,3,4,,32-50,4,9.0,Rogers,Reynolds,Jones,2:45,D,41305,.27,-------,
83,Monday Jun 30,boxscore,COL,,SDP,L,8,15,,32-51,5,10.0,Bell,Fuentes,,3:15,N,43248,.25,--------,
84,Tuesday Jul 1,boxscore,COL,,SDP,W,4,0,,33-51,4,9.0,Cook,Banks,,1:58,N,26221,.20,+,
85,Wednesday Jul 2,boxscore,COL,,SDP,W,8,1,,34-51,4,8.0,Jimenez,Wolf,,2:18,N,28377,.24,++,
86,Thursday Jul 3,boxscore,COL,,FLA,W-wo,6,5,11,35-51,4,8.0,Herges,Gregg,,3:30,N,48084,.30,+++,
87,Friday Jul 4,boxscore,COL,,FLA,W-wo,18,17,,36-51,4,7.0,Buchholz,Gregg,,3:59,N,48691,.29,++++,
88,Saturday Jul 5,boxscore,COL,,FLA,W,12,6,,37-51,4,6.0,De La Rosa,Tucker,,3:07,N,35137,.33,+++++,
89,Sunday Jul 6,boxscore,COL,,FLA,L,5,10,,37-52,4,7.0,Volstad,Cook,,3:11,D,27168,.44,-,
90,Monday Jul 7,boxscore,COL,@,MIL,W,4,3,,38-52,4,6.5,Jimenez,McClung,Fuentes,2:55,N,35161,.35,+,
91,Tuesday Jul 8,boxscore,COL,@,MIL,L,3,7,,38-53,4,7.5,Sabathia,Redman,,2:54,N,42533,.40,-,
92,Wednesday Jul 9,boxscore,COL,@,MIL,W,8,3,,39-53,4,6.5,Rusch,Sheets,,2:30,N,37092,.33,+,
93,Thursday Jul 10,boxscore,COL,@,MIL,L,1,11,,39-54,4,7.5,Bush,De La Rosa,,2:54,D,43389,.40,-,
94,Friday Jul 11,boxscore,COL,@,NYM,L,1,2,,39-55,4,7.5,Feliciano,Buchholz,Wagner,2:52,N,49016,.34,--,
